OrgID,FisYear,CDFlag,overall_score,econ_score,envrn_score,lenvrnmntl,corpgov_score,social_score,feeddate,fyenddate,Asset4Id,OrgName,BusTRBCId,PrimExchg,StatusFlag,OAId,tick,Cusip,Sedol,Isin
16424,2009,40000000000,0.72071483,0.56511456,0.93298176,,0.11793359,0.93651188,11/15/2020,3/31/2009,A4_00195,Toyota Motor Corp,5310,TYO,1,4295876746,TOYOT,,690064,JP3633400001
16424,2004,40000000000,0.91307598,0.91651546,0.97319861,,0.3893827,0.91312877,11/15/2020,3/31/2004,A4_00195,Toyota Motor Corp,5310,TYO,1,4295876746,TOYOT,,690064,JP3633400001
16424,2002,40000000000,0.74582821,0.69405094,0.96989882,,0.11079272,0.76963965,11/8/2020,3/31/2002,A4_00195,Toyota Motor Corp,5310,TYO,1,4295876746,TOYOT,,690064,JP3633400001
16424,2003,40000000000,0.68825261,0.70079646,0.9347741,,0.08272539,0.68300909,11/8/2020,3/31/2003,A4_00195,Toyota Motor Corp,5310,TYO,1,4295876746,TOYOT,,690064,JP3633400001
16424,2010,40000000000,0.66771364,0.55696231,0.94551036,,0.11067445,0.80517242,11/15/2020,3/31/2010,A4_00195,Toyota Motor Corp,5310,TYO,1,4295876746,TOYOT,,690064,JP3633400001
16424,2019,40000000000,0.42259265,0.16524398,0.90704159,,0.0806649,0.68468557,11/15/2020,3/31/2019,A4_00195,Toyota Motor Corp,5310,TYO,1,4295876746,TOYOT,,690064,JP3633400001
16424,2016,40000000000,0.8166607,0.93899678,0.95264148,,0.08332861,0.93264179,11/15/2020,3/31/2016,A4_00195,Toyota Motor Corp,5310,TYO,1,4295876746,TOYOT,,690064,JP3633400001
16424,2015,40000000000,0.78592736,0.94280736,0.94282803,,0.11310371,0.8057787,11/15/2020,3/31/2015,A4_00195,Toyota Motor Corp,5310,TYO,1,4295876746,TOYOT,,690064,JP3633400001
16424,2017,40000000000,0.78894357,0.88306609,0.95360318,,0.08705028,0.88373548,11/15/2020,3/31/2017,A4_00195,Toyota Motor Corp,5310,TYO,1,4295876746,TOYOT,,690064,JP3633400001
16424,2014,40000000000,0.81559956,0.96549415,0.9372164,,0.09746971,0.87893955,11/15/2020,3/31/2014,A4_00195,Toyota Motor Corp,5310,TYO,1,4295876746,TOYOT,,690064,JP3633400001
16424,2018,40000000000,0.80724236,0.7969104,0.94919842,,0.1274747,0.91876495,11/15/2020,3/31/2018,A4_00195,Toyota Motor Corp,5310,TYO,1,4295876746,TOYOT,,690064,JP3633400001
16424,2013,40000000000,0.80842324,0.96551129,0.93372129,,0.08887029,0.85801565,11/15/2020,3/31/2013,A4_00195,Toyota Motor Corp,5310,TYO,1,4295876746,TOYOT,,690064,JP3633400001
16424,2012,40000000000,0.78371799,0.94791316,0.93876981,,0.09303465,0.79494351,11/15/2020,3/31/2012,A4_00195,Toyota Motor Corp,5310,TYO,1,4295876746,TOYOT,,690064,JP3633400001
16424,2020,40000000000,0.42813878,0.15486002,,,0.09584409,0.68567393,11/15/2020,,A4_00195,Toyota Motor Corp,5310,TYO,1,4295876746,TOYOT,,690064,JP3633400001
16424,2011,40000000000,0.64285954,0.48880585,0.92559613,,0.11382054,0.83365669,11/15/2020,3/31/2011,A4_00195,Toyota Motor Corp,5310,TYO,1,4295876746,TOYOT,,690064,JP3633400001
16597,2020,40000000000,0.9076018,0.41829217,,,0.91963963,0.85464519,11/15/2020,,A4_00357,Ford Motor Company,5310,NYSE,1,4295903068,F,34537086,261546,US3453708600
16597,2019,40000000000,0.8960754,0.40412636,0.91958258,,0.86570056,0.86506138,11/15/2020,12/31/2019,A4_00357,Ford Motor Company,5310,NYSE,1,4295903068,F,34537086,261546,US3453708600
16597,2017,40000000000,0.93584043,0.86637314,0.92869671,,0.86149308,0.8906682,11/15/2020,12/31/2017,A4_00357,Ford Motor Company,5310,NYSE,1,4295903068,F,34537086,261546,US3453708600
16597,2016,40000000000,0.94907942,0.94799971,0.94565786,,0.85125379,0.91219059,11/15/2020,12/31/2016,A4_00357,Ford Motor Company,5310,NYSE,1,4295903068,F,34537086,261546,US3453708600
16597,2015,40000000000,0.95209644,0.91797907,0.94386725,,0.93049235,0.89920797,11/15/2020,12/31/2015,A4_00357,Ford Motor Company,5310,NYSE,1,4295903068,F,34537086,261546,US3453708600
16597,2014,40000000000,0.90005827,0.69882519,0.93459905,,0.77436007,0.8424425,11/15/2020,12/31/2014,A4_00357,Ford Motor Company,5310,NYSE,1,4295903068,F,34537086,261546,US3453708600
16597,2013,40000000000,0.92726381,0.91800239,0.93370749,,0.77590038,0.78036726,11/15/2020,12/31/2013,A4_00357,Ford Motor Company,5310,NYSE,1,4295903068,F,34537086,261546,US3453708600
16597,2012,40000000000,0.93358097,0.90226426,0.9226689,,0.77038651,0.88160686,11/15/2020,12/31/2012,A4_00357,Ford Motor Company,5310,NYSE,1,4295903068,F,34537086,261546,US3453708600
16597,2011,40000000000,0.92119446,0.81627999,0.94504097,,0.81726036,0.81649689,11/15/2020,12/31/2011,A4_00357,Ford Motor Company,5310,NYSE,1,4295903068,F,34537086,261546,US3453708600
16597,2018,40000000000,0.92592547,0.68076186,0.92539395,,0.86732285,0.84950623,11/15/2020,12/31/2018,A4_00357,Ford Motor Company,5310,NYSE,1,4295903068,F,34537086,261546,US3453708600
